country,year,gdp_pcap (US dollars)
PAK,2016,1424.6916119589737
PAK,2017,1519.2345951424784
PAK,2018,1569.3381462635487
PAK,2019,1390.416909817447
PAK,2020,1278.3973520689553
PAK,2021,1455.3192237018598
PAK,2022,1538.3228133170996
PAK,2023,1365.1692741097577
PAK,2024,1484.7498586477516
PHL,2012,2614.6164440130824
PHL,2013,2781.2795767739717
PHL,2014,2866.838037614072
PHL,2015,2909.8581801030064
PHL,2016,2985.195640240464
PHL,2017,3038.1212495928917
PHL,2018,3168.5103660972686
PHL,2019,3400.789497670743
PHL,2020,3227.579102351993
PHL,2021,3484.3859388281885
PHL,2022,3548.0693057211556
PHL,2023,3804.0827413109687
PHL,2024,3984.8315387656016
POL,2012,13087.42094332095
POL,2013,13621.902379403095
POL,2014,14262.284191411594
POL,2015,12637.522032440615
POL,2016,12464.012104482732
POL,2017,13913.341519012441
POL,2018,15658.210586692961
POL,2019,15874.522053125382
POL,2020,16150.92910097257
POL,2021,18635.50888125089
POL,2022,18891.213529395965
POL,2023,22145.264308890855
POL,2024,25022.67164459534
PRT,2012,20593.4274224109
PRT,2013,21676.485964271385
PRT,2014,22120.685012710746
PRT,2015,19215.781301434683
PRT,2016,19980.280886651573
PRT,2017,21442.384276887915
PRT,2018,23541.14010752886
PRT,2019,23343.362897003433
PRT,2020,22299.404406217305
PRT,2021,24711.451006211093
PRT,2022,24620.519556875042
PRT,2023,27386.292059502382
PRT,2024,28844.497924679894
QAT,2012,108470.378825036
QAT,2013,103697.00837237282
QAT,2014,95840.6310094498
QAT,2015,68985.29469615073
QAT,2016,61253.63754827974
QAT,2017,63279.855694933154
QAT,2018,71039.8490579352
QAT,2019,66841.30134849194
QAT,2020,51683.50543766771
QAT,2021,71751.88312571691
QAT,2022,88701.46335227301
QAT,2023,80195.87465085486
QAT,2024,76275.90767828333
ROU,2012,8929.953662314741
ROU,2013,9497.674116152373
ROU,2014,10031.771075540391
ROU,2015,8977.017481581965
ROU,2016,9404.540058707149
ROU,2017,10727.982200742588
ROU,2018,12502.262406193502
ROU,2019,12992.032610467375
ROU,2020,13082.300655955389
ROU,2021,14986.785490427405
ROU,2022,15557.882624758362
ROU,2023,18404.27308717039
ROU,2024,20072.407924404197
RWA,2012,706.8172686891002
RWA,2013,704.9242179661595
RWA,2014,724.9575261092621
RWA,2015,733.9986303923145
RWA,2016,729.5191340446113
RWA,2017,758.3009667376243
RWA,2018,771.7735110579006
RWA,2019,810.0514121373539
RWA,2020,778.7014987874107
RWA,2021,829.5448456397766
RWA,2022,975.4693239795414
RWA,2023,1027.0344680443206
RWA,2024,999.6545614026985
SAU,2012,28733.437551345218
SAU,2013,27865.465604962024
SAU,2014,27805.48503194224
SAU,2015,23256.154955353068
SAU,2016,22267.721705038737
SAU,2017,23929.290713598155
SAU,2018,29360.065896856635
SAU,2019,29566.79338274359
SAU,2020,24338.830730106733
SAU,2021,31920.765365564308
SAU,2022,38510.22762110374
SAU,2023,36156.848337700976
SAU,2024,35057.225230696946
SDN,2012,1019.22210693359
SDN,2013,1138.62780761719
SDN,2014,1275.43835449219
SDN,2015,1292.37963867188
